"","Type","SumCounts","Floss"
"ENSACAT00000004208.3","mRNA",146,0.11141486
"ENSACAT00000004214.2","mRNA",0,0.50000021
"ENSACAT00000004217.1","mRNA",39,0.09804391
"ENSACAT00000004230.2","mRNA",404,0.08840211
"ENSACAT00000029249.1","mRNA",116,0.152316115
"ENSACAT00000004488.3","mRNA",8394,0.09146198
"ENSACAT00000004601.3","mRNA",0,0.50000021
"ENSACAT00000004605.2","mRNA",0,0.50000021
"ENSACAT00000004767.3","mRNA",1032,0.04276783
"ENSACAT00000023163.1","mRNA",0,0.50000021
"ENSACAT00000026019.1","mRNA",0,0.50000021
"ENSACAT00000029824.1","mRNA",0,0.50000021
"ENSACAT00000004938.3","mRNA",37,0.19339956
"ENSACAT00000005110.3","mRNA",654,0.050069945
"ENSACAT00000026791.1","mRNA",0,0.50000021
"ENSACAT00000005127.3","mRNA",135,0.17072501
"ENSACAT00000023280.1","mRNA",36,0.20213681
"ENSACAT00000005192.2","mRNA",46,0.11789009
"ENSACAT00000005275.2","mRNA",0,0.50000021
"ENSACAT00000024576.2","mRNA",286,0.16551926
"ENSACAT00000005321.3","mRNA",154,0.228665605
"ENSACAT00000005330.2","mRNA",222,0.20957374
"ENSACAT00000005561.3","mRNA",417,0.05733653
"ENSACAT00000005607.3","mRNA",352,0.108104305
"ENSACAT00000005637.3","mRNA",316,0.16466964
"ENSACAT00000007144.3","mRNA",86,0.11653849
"ENSACAT00000005383.3","mRNA",59,0.12895261
"ENSACAT00000005539.3","mRNA",131,0.12173087
"ENSACAT00000005542.2","mRNA",14,0.34061069
"ENSACAT00000005615.2","mRNA",88,0.09531594
"ENSACAT00000005654.2","mRNA",174,0.325756645
"ENSACAT00000005665.1","mRNA",139,0.05797944
"ENSACAT00000005694.2","mRNA",137,0.28916364
"ENSACAT00000005716.2","mRNA",0,0.50000021
"ENSACAT00000005756.3","mRNA",148,0.15875393
"ENSACAT00000005939.2","mRNA",15,0.32932771
"ENSACAT00000005994.3","mRNA",42,0.21248981
"ENSACAT00000006107.2","mRNA",0,0.50000021
"ENSACAT00000006252.3","mRNA",36,0.28375531
"ENSACAT00000006307.2","mRNA",2,0.76185121
"ENSACAT00000006411.3","mRNA",9,0.47442881
"ENSACAT00000006489.2","mRNA",7,0.43645791
"ENSACAT00000006540.2","mRNA",516,0.06580864
"ENSACAT00000006581.3","mRNA",616,0.17471707
"ENSACAT00000006612.2","mRNA",17,0.18027731
"ENSACAT00000005593.2","mRNA",28,0.34894676
"ENSACAT00000006637.3","mRNA",38,0.22024219
"ENSACAT00000006673.3","mRNA",461,0.07512889
"ENSACAT00000006681.3","mRNA",50,0.27579101
"ENSACAT00000022169.1","mRNA",0,0.50000021
"ENSACAT00000006864.3","mRNA",668,0.07606524
"ENSACAT00000006918.3","mRNA",201,0.1158746
"ENSACAT00000006938.3","mRNA",14,0.40470831
"ENSACAT00000006994.3","mRNA",98,0.11612129
"ENSACAT00000006999.2","mRNA",2,0.71254381
"ENSACAT00000007022.3","mRNA",47,0.17329861
"ENSACAT00000007059.2","mRNA",100,0.20254381
"ENSACAT00000007178.2","mRNA",4315,0.055018835
"ENSACAT00000029973.1","mRNA",3799,0.02046949
"ENSACAT00000007238.3","mRNA",90,0.17439496
"ENSACAT00000025638.2","mRNA",8,0.44858621
"ENSACAT00000007247.3","mRNA",491,0.08496255
"ENSACAT00000007296.3","mRNA",6,0.43495181
"ENSACAT00000029966.1","mRNA",14,0.42682971
"ENSACAT00000004925.2","mRNA",262,0.21648374
"ENSACAT00000007419.2","mRNA",190,0.26898384
"ENSACAT00000007472.3","mRNA",29,0.24181869
"ENSACAT00000007502.3","mRNA",228,0.08822458
"ENSACAT00000007538.2","mRNA",373,0.07882603
"ENSACAT00000007737.3","mRNA",32,0.17910381
"ENSACAT00000024758.1","mRNA",161,0.11093542
"ENSACAT00000007948.3","mRNA",1054,0.075837495
"ENSACAT00000007989.3","mRNA",743,0.05178402
"ENSACAT00000007990.2","mRNA",1302,0.17193059
"ENSACAT00000008286.2","mRNA",30,0.33313156
"ENSACAT00000008308.3","mRNA",1694,0.114861855
"ENSACAT00000008397.3","mRNA",28,0.27223911
"ENSACAT00000030759.1","mRNA",1068,0.06589352
"ENSACAT00000008446.3","mRNA",27,0.11705731
"ENSACAT00000008555.3","mRNA",743,0.11510291
"ENSACAT00000008702.3","mRNA",1248,0.065429895
"ENSACAT00000009124.1","mRNA",5,0.27439621
"ENSACAT00000009443.3","mRNA",5,0.63313141
"ENSACAT00000009460.3","mRNA",47,0.14978429
"ENSACAT00000009226.3","mRNA",687,0.07028414
"ENSACAT00000009085.3","mRNA",461,0.102251785
"ENSACAT00000008946.3","mRNA",18,0.36113001
"ENSACAT00000008825.3","mRNA",97,0.13600201
"ENSACAT00000008737.3","mRNA",1,0.70081021
"ENSACAT00000008724.2","mRNA",61,0.19417821
"ENSACAT00000024430.2","mRNA",17,0.48019016
"ENSACAT00000008715.3","mRNA",79,0.16906861
"ENSACAT00000008682.3","mRNA",46,0.30219801
"ENSACAT00000008673.3","mRNA",323,0.07004106
"ENSACAT00000006980.3","mRNA",53,0.24030379
"ENSACAT00000007001.3","mRNA",50,0.32185121
"ENSACAT00000007013.2","mRNA",112,0.09144356
"ENSACAT00000029643.1","mRNA",431,0.06904026
"ENSACAT00000007145.3","mRNA",92,0.16727026
"ENSACAT00000005402.2","mRNA",0,0.50000021
"ENSACAT00000023275.1","mRNA",0,0.50000021
"ENSACAT00000002806.2","mRNA",0,0.50000021
"ENSACAT00000007676.2","mRNA",643,0.093649835
"ENSACAT00000007679.2","mRNA",169,0.22292053
"ENSACAT00000007721.3","mRNA",736,0.055956765
"ENSACAT00000015908.3","mRNA",46,0.13880366
"ENSACAT00000011366.3","mRNA",53,0.20830046
"ENSACAT00000029228.1","mRNA",87,0.07460074
"ENSACAT00000011520.3","mRNA",111,0.16269554
"ENSACAT00000011663.3","mRNA",395,0.094497085
"ENSACAT00000011668.2","mRNA",55,0.18527086
"ENSACAT00000011888.3","mRNA",45,0.11050429
"ENSACAT00000011903.2","mRNA",307,0.134382345
"ENSACAT00000011915.3","mRNA",468,0.03836703
"ENSACAT00000012052.3","mRNA",91,0.13480431
"ENSACAT00000006621.2","mRNA",45,0.25082906
"ENSACAT00000006657.2","mRNA",694,0.082240075
"ENSACAT00000006699.3","mRNA",277,0.14606284
"ENSACAT00000006725.3","mRNA",0,0.50000021
"ENSACAT00000006762.3","mRNA",1454,0.08316614
"ENSACAT00000006845.3","mRNA",329,0.07249839
"ENSACAT00000006873.3","mRNA",70,0.20558909
"ENSACAT00000006876.3","mRNA",1979,0.332947335
"ENSACAT00000006881.2","mRNA",0,0.50000021
"ENSACAT00000006922.3","mRNA",2,0.96032141
"ENSACAT00000006970.3","mRNA",342,0.08418562
"ENSACAT00000030449.1","mRNA",300,0.085354545
"ENSACAT00000007107.3","mRNA",19,0.14088731
"ENSACAT00000007113.2","mRNA",338,0.11500667
"ENSACAT00000007116.2","mRNA",76,0.22719884
"ENSACAT00000007337.3","mRNA",330,0.07390484
"ENSACAT00000007397.3","mRNA",906,0.25630554
"ENSACAT00000026449.1","mRNA",907,0.25587374
"ENSACAT00000007449.3","mRNA",62,0.11955621
"ENSACAT00000007479.3","mRNA",247,0.072708075
"ENSACAT00000007458.2","mRNA",286,0.16388384
"ENSACAT00000007938.3","mRNA",22,0.18348721
"ENSACAT00000026753.2","mRNA",5,0.77205641
"ENSACAT00000008185.3","mRNA",30,0.18535416
"ENSACAT00000008187.3","mRNA",1,0.87281021
"ENSACAT00000008215.3","mRNA",8,0.27932359
"ENSACAT00000008363.3","mRNA",501,0.09965956
"ENSACAT00000008896.3","mRNA",261,0.07927149
"ENSACAT00000008912.3","mRNA",92,0.20432469
"ENSACAT00000008923.2","mRNA",13,0.27766126
"ENSACAT00000008999.3","mRNA",95,0.13164244
"ENSACAT00000009063.2","mRNA",109,0.12366236
"ENSACAT00000009103.3","mRNA",5,0.38535521
"ENSACAT00000009145.3","mRNA",2,0.81173521
"ENSACAT00000009150.3","mRNA",0,0.50000021
"ENSACAT00000009191.3","mRNA",296,0.12568563
"ENSACAT00000009532.3","mRNA",1447,0.059383395
"ENSACAT00000010222.2","mRNA",0,0.50000021
"ENSACAT00000010315.3","mRNA",54,0.22725361
"ENSACAT00000010349.3","mRNA",9,0.45082901
"ENSACAT00000029427.1","mRNA",8,0.43694001
"ENSACAT00000030361.1","mRNA",0,0.50000021
"ENSACAT00000013513.3","mRNA",1,0.87281021
"ENSACAT00000013370.3","mRNA",36,0.10759581
"ENSACAT00000030802.1","mRNA",1,0.87281021
"ENSACAT00000013356.3","mRNA",100,0.12734019
"ENSACAT00000013167.2","mRNA",5,0.77361881
"ENSACAT00000013144.2","mRNA",19,0.31497191
"ENSACAT00000025601.1","mRNA",0,0.50000021
"ENSACAT00000013125.2","mRNA",43,0.17056619
"ENSACAT00000013122.3","mRNA",97,0.09542891
"ENSACAT00000012994.2","mRNA",43,0.19379681
"ENSACAT00000011016.3","mRNA",159,0.057862755
"ENSACAT00000011062.3","mRNA",100,0.21713359
"ENSACAT00000022767.1","mRNA",0,0.50000021
"ENSACAT00000011705.3","mRNA",342,0.15011714
"ENSACAT00000011807.3","mRNA",85,0.15960231
"ENSACAT00000011854.3","mRNA",0,0.50000021
"ENSACAT00000017525.3","mRNA",2,0.81173521
"ENSACAT00000023699.1","mRNA",0,0.50000021
"ENSACAT00000017519.3","mRNA",59,0.18965081
"ENSACAT00000030038.1","mRNA",0,0.50000021
"ENSACAT00000025744.2","mRNA",686,0.054741485
"ENSACAT00000005738.2","mRNA",674,0.32119835
"ENSACAT00000005708.3","mRNA",0,0.50000021
"ENSACAT00000023441.1","mRNA",3,0.56193951
"ENSACAT00000005627.3","mRNA",0,0.50000021
"ENSACAT00000003087.3","mRNA",3389,0.078080635
"ENSACAT00000003036.2","mRNA",45,0.08949586
"ENSACAT00000002885.3","mRNA",1604,0.065465705
"ENSACAT00000002729.3","mRNA",348,0.09017274
"ENSACAT00000001960.3","mRNA",19,0.14096009
"ENSACAT00000001848.3","mRNA",36,0.28546966
"ENSACAT00000029756.1","mRNA",36,0.28546966
"ENSACAT00000001799.3","mRNA",521,0.13630344
"ENSACAT00000001654.3","mRNA",1,0.70081021
"ENSACAT00000001092.3","mRNA",116,0.152600885
"ENSACAT00000000883.3","mRNA",2516,0.307014765
"ENSACAT00000006204.3","mRNA",642,0.07783749
"ENSACAT00000006025.3","mRNA",375,0.158661095
"ENSACAT00000028897.1","mRNA",165,0.325576055
"ENSACAT00000005985.3","mRNA",1059,0.20894979
"ENSACAT00000005969.2","mRNA",1601,0.134743205
"ENSACAT00000005819.3","mRNA",4,0.27439621
"ENSACAT00000005802.3","mRNA",23,0.18287066
"ENSACAT00000005791.2","mRNA",8452,0.102244455
"ENSACAT00000028778.1","mRNA",0,0.50000021
"ENSACAT00000028561.1","mRNA",0,0.50000021
"ENSACAT00000008458.2","mRNA",0,0.50000021
"ENSACAT00000007229.3","mRNA",2542,0.09888923
"ENSACAT00000007301.3","mRNA",1406,0.11871469
"ENSACAT00000007414.2","mRNA",51,0.19775291
"ENSACAT00000007433.3","mRNA",74,0.21208979
"ENSACAT00000025095.1","mRNA",72,0.19782609
"ENSACAT00000007481.3","mRNA",652,0.062993765
"ENSACAT00000007522.3","mRNA",100,0.12545479
"ENSACAT00000029052.1","mRNA",0,0.50000021
"ENSACAT00000024065.1","mRNA",0,0.50000021
"ENSACAT00000014118.3","mRNA",575,0.10985804
"ENSACAT00000014002.2","mRNA",2,0.87281021
"ENSACAT00000013920.3","mRNA",393,0.092676365
"ENSACAT00000013804.3","mRNA",15,0.20772831
"ENSACAT00000013683.2","mRNA",54,0.27934464
"ENSACAT00000013659.3","mRNA",152,0.102026565
"ENSACAT00000013588.3","mRNA",112,0.229780755
"ENSACAT00000013530.2","mRNA",1116,0.291447045
"ENSACAT00000013519.3","mRNA",449,0.09833394
"ENSACAT00000011912.3","mRNA",330,0.098230195
"ENSACAT00000026236.1","mRNA",12,0.26185106
"ENSACAT00000012055.2","mRNA",5,0.46266121
"ENSACAT00000012268.3","mRNA",57,0.22999991
"ENSACAT00000012287.2","mRNA",15,0.51254521
"ENSACAT00000012356.3","mRNA",130,0.113353905
"ENSACAT00000030514.1","mRNA",1,0.70081021
"ENSACAT00000025096.1","mRNA",0,0.50000021
"ENSACAT00000028744.1","mRNA",0,0.50000021
"ENSACAT00000012563.3","mRNA",170,0.21842741
"ENSACAT00000012606.2","mRNA",166,0.16964646
"ENSACAT00000010348.2","mRNA",33,0.22300974
"ENSACAT00000025999.2","mRNA",19,0.13101631
"ENSACAT00000005635.3","mRNA",182,0.14362469
"ENSACAT00000014971.2","mRNA",25,0.34113141
"ENSACAT00000014918.3","mRNA",1904,0.06915038
"ENSACAT00000014858.3","mRNA",11,0.46949486
"ENSACAT00000014852.3","mRNA",89,0.20473196
"ENSACAT00000013932.2","mRNA",1,0.76185121
"ENSACAT00000013924.3","mRNA",75,0.11380009
"ENSACAT00000023773.1","mRNA",0,0.50000021
"ENSACAT00000026985.1","mRNA",0,0.50000021
"ENSACAT00000013682.2","mRNA",15,0.17205621
"ENSACAT00000013678.3","mRNA",34,0.27592366
"ENSACAT00000015409.3","mRNA",0,0.50000021
"ENSACAT00000015396.3","mRNA",560,0.05832359
"ENSACAT00000015306.3","mRNA",1260,0.03635493
"ENSACAT00000015261.3","mRNA",3,0.77361881
"ENSACAT00000015156.3","mRNA",1,0.76185121
"ENSACAT00000015125.3","mRNA",254,0.16191146
"ENSACAT00000023607.1","mRNA",0,0.50000021
"ENSACAT00000011374.2","mRNA",0,0.50000021
"ENSACAT00000011642.3","mRNA",15,0.37362036
"ENSACAT00000011690.3","mRNA",1039,0.09873608
"ENSACAT00000028463.1","mRNA",15,0.20772936
"ENSACAT00000011869.2","mRNA",44,0.30799996
"ENSACAT00000011909.2","mRNA",0,0.50000021
"ENSACAT00000011966.2","mRNA",0,0.50000021
"ENSACAT00000030806.1","mRNA",4,0.66265981
"ENSACAT00000012107.2","mRNA",230,0.105948915
"ENSACAT00000012256.3","mRNA",352,0.08782399
"ENSACAT00000012303.3","mRNA",37,0.19520761
"ENSACAT00000012309.2","mRNA",2,0.76185121
"ENSACAT00000012370.3","mRNA",43,0.13091181
"ENSACAT00000012412.2","mRNA",586,0.15629392
"ENSACAT00000012438.3","mRNA",374,0.299740565
"ENSACAT00000012562.3","mRNA",318,0.11570994
"ENSACAT00000012634.2","mRNA",528,0.09819924
"ENSACAT00000012955.3","mRNA",933,0.079492875
"ENSACAT00000026344.1","mRNA",0,0.50000021
"ENSACAT00000012999.2","mRNA",38,0.21149859
"ENSACAT00000013011.2","mRNA",0,0.50000021
"ENSACAT00000013265.3","mRNA",396,0.07078834
"ENSACAT00000013644.3","mRNA",333,0.11372609
"ENSACAT00000027476.1","mRNA",232,0.13331009
"ENSACAT00000012062.3","mRNA",3322,0.070630285
"ENSACAT00000024488.1","mRNA",254,0.20321034
"ENSACAT00000030070.1","mRNA",112,0.151540975
"ENSACAT00000011977.3","mRNA",19,0.26508741
"ENSACAT00000022565.1","mRNA",357,0.09851606
"ENSACAT00000011964.3","mRNA",103,0.12641931
"ENSACAT00000011947.3","mRNA",1,0.70081021
"ENSACAT00000011892.3","mRNA",0,0.50000021
"ENSACAT00000030678.1","mRNA",0,0.50000021
"ENSACAT00000027761.1","mRNA",2,0.60161881
"ENSACAT00000015768.3","mRNA",40,0.20954521
"ENSACAT00000011614.3","mRNA",9,0.19113131
"ENSACAT00000022913.1","mRNA",5,0.57362021
"ENSACAT00000030404.1","mRNA",5,0.27439621
"ENSACAT00000026295.2","mRNA",22,0.27699051
"ENSACAT00000011605.2","mRNA",45,0.14983396
"ENSACAT00000011593.3","mRNA",805,0.19356746
"ENSACAT00000011514.3","mRNA",47,0.18397301
"ENSACAT00000011361.3","mRNA",21,0.14504861
"ENSACAT00000030612.1","mRNA",101,0.102097535
"ENSACAT00000029230.1","mRNA",17,0.24867781
"ENSACAT00000028662.2","mRNA",127,0.16846634
"ENSACAT00000011239.2","mRNA",1,0.70081021
"ENSACAT00000029998.1","mRNA",0,0.50000021
"ENSACAT00000011056.3","mRNA",584,0.06511184
"ENSACAT00000025648.1","mRNA",6,0.46266121
"ENSACAT00000028067.2","mRNA",1,0.81173521
"ENSACAT00000030556.1","mRNA",119,0.10083311
"ENSACAT00000010561.3","mRNA",0,0.50000021
"ENSACAT00000010549.2","mRNA",15,0.38535521
"ENSACAT00000010391.3","mRNA",0,0.50000021
"ENSACAT00000030839.1","mRNA",0,0.50000021
"ENSACAT00000024848.1","mRNA",1960,0.18676764
"ENSACAT00000010331.3","mRNA",63,0.12237534
"ENSACAT00000029449.1","mRNA",0,0.50000021
"ENSACAT00000030607.1","mRNA",216,0.09989987
"ENSACAT00000010451.3","mRNA",137,0.151513975
"ENSACAT00000010134.3","mRNA",260,0.038250985
"ENSACAT00000010023.3","mRNA",30,0.21254346
"ENSACAT00000009980.3","mRNA",18,0.22027029
"ENSACAT00000009912.3","mRNA",195,0.10519824
"ENSACAT00000009878.2","mRNA",478,0.15745084
"ENSACAT00000009861.3","mRNA",128,0.12283231
"ENSACAT00000009833.3","mRNA",22,0.17183381
"ENSACAT00000009819.2","mRNA",27,0.24069091
"ENSACAT00000009808.2","mRNA",0,0.50000021
"ENSACAT00000008664.3","mRNA",3,0.47439431
"ENSACAT00000008651.3","mRNA",28,0.24051106
"ENSACAT00000008628.3","mRNA",45,0.18868706
"ENSACAT00000026799.1","mRNA",0,0.50000021
"ENSACAT00000010366.3","mRNA",199,0.09944551
"ENSACAT00000028214.2","mRNA",46,0.14732656
"ENSACAT00000023616.1","mRNA",0,0.50000021
"ENSACAT00000010370.2","mRNA",47,0.49431629
"ENSACAT00000026271.2","mRNA",449,0.04532839
"ENSACAT00000010394.3","mRNA",23,0.13883806
"ENSACAT00000010518.3","mRNA",759,0.134275315
"ENSACAT00000010647.3","mRNA",1026,0.17625489
"ENSACAT00000010806.3","mRNA",264,0.12024974
"ENSACAT00000010912.3","mRNA",194,0.13959756
"ENSACAT00000010938.3","mRNA",169,0.14627626
"ENSACAT00000011111.3","mRNA",489,0.109997365
"ENSACAT00000025132.1","mRNA",34,0.21641141
"ENSACAT00000022714.1","mRNA",31,0.20402176
"ENSACAT00000011125.2","mRNA",45,0.19021726
"ENSACAT00000022143.2","mRNA",2,0.63466121
"ENSACAT00000011189.3","mRNA",0,0.50000021
"ENSACAT00000029629.1","mRNA",34,0.13244381
"ENSACAT00000026313.2","mRNA",8,0.38466121
"ENSACAT00000011328.3","mRNA",13,0.47442831
"ENSACAT00000030619.1","mRNA",0,0.50000021
"ENSACAT00000011253.3","mRNA",1,0.87281021
"ENSACAT00000029447.1","mRNA",0,0.50000021
"ENSACAT00000030195.1","mRNA",20,0.22286501
"ENSACAT00000011455.3","mRNA",54,0.28747224
"ENSACAT00000011471.2","mRNA",1,0.76185121
"ENSACAT00000011503.2","mRNA",465,0.075719655
"ENSACAT00000011532.3","mRNA",59,0.29653371
"ENSACAT00000011540.2","mRNA",0,0.50000021
"ENSACAT00000011563.3","mRNA",49,0.30438066
"ENSACAT00000029816.1","mRNA",5,0.37205641
"ENSACAT00000011569.2","mRNA",3780,0.11560269
"ENSACAT00000011573.2","mRNA",5951,0.18272339
"ENSACAT00000011336.3","mRNA",198,0.21078694
"ENSACAT00000011616.2","mRNA",0,0.50000021
"ENSACAT00000023296.2","mRNA",4,0.76185121
"ENSACAT00000011662.3","mRNA",1,0.81173521
"ENSACAT00000011737.3","mRNA",0,0.50000021
"ENSACAT00000011689.1","mRNA",118,0.21114229
"ENSACAT00000005760.3","mRNA",3341,0.09144789
"ENSACAT00000007295.3","mRNA",4,0.38466121
"ENSACAT00000030692.1","mRNA",1,0.76185121
"ENSACAT00000007291.3","mRNA",11,0.21639661
"ENSACAT00000007298.2","mRNA",0,0.50000021
"ENSACAT00000005763.3","mRNA",4,0.22439481
"ENSACAT00000007340.2","mRNA",0,0.50000021
"ENSACAT00000029202.1","mRNA",0,0.50000021
"ENSACAT00000007348.2","mRNA",72,0.20813106
"ENSACAT00000023793.1","mRNA",131,0.196993165
"ENSACAT00000007371.2","mRNA",10,0.20161881
"ENSACAT00000025456.1","mRNA",0,0.50000021
"ENSACAT00000007377.2","mRNA",17,0.35899956
"ENSACAT00000007405.3","mRNA",140,0.25161851
"ENSACAT00000024061.1","mRNA",1,0.70081021
"ENSACAT00000007420.2","mRNA",0,0.50000021
"ENSACAT00000027474.2","mRNA",1,0.76185121
"ENSACAT00000000201.2","mRNA",0,0.50000021
"ENSACAT00000022014.1","mRNA",3,0.53546931
"ENSACAT00000016092.1","mRNA",20,0.26194001
"ENSACAT00000012631.2","mRNA",6516,0.20123104
"ENSACAT00000012365.3","mRNA",0,0.50000021
"ENSACAT00000012342.3","mRNA",2314,0.15358004
"ENSACAT00000016401.2","mRNA",2,0.90080881
"ENSACAT00000012220.1","mRNA",912,0.25346359
"ENSACAT00000012126.3","mRNA",160,0.15640981
"ENSACAT00000012092.3","mRNA",380,0.12155962
"ENSACAT00000012044.3","mRNA",580,0.130856085
"ENSACAT00000025555.1","mRNA",0,0.50000021
"ENSACAT00000011714.3","mRNA",225,0.10298231
"ENSACAT00000011633.3","mRNA",1651,0.04977219
"ENSACAT00000011201.3","mRNA",8,0.09939481
"ENSACAT00000011180.3","mRNA",60,0.10619991
"ENSACAT00000010873.3","mRNA",51,0.18699906
"ENSACAT00000010699.3","mRNA",6,0.43495181
"ENSACAT00000030444.1","mRNA",0,0.50000021
"ENSACAT00000010668.3","mRNA",58,0.17934986
"ENSACAT00000010592.3","mRNA",1,0.70081021
"ENSACAT00000026154.1","mRNA",23,0.18819851
"ENSACAT00000010585.3","mRNA",695,0.15897379
"ENSACAT00000010536.3","mRNA",25,0.31286501
"ENSACAT00000029792.1","mRNA",52,0.36543016
"ENSACAT00000010530.3","mRNA",276,0.06853059
"ENSACAT00000030287.1","mRNA",65,0.13862769
"ENSACAT00000004627.2","mRNA",3,0.60161881
"ENSACAT00000030763.1","mRNA",7,0.29360091
"ENSACAT00000029548.1","mRNA",11,0.38993226
"ENSACAT00000022191.2","mRNA",6,0.26828531
"ENSACAT00000030840.1","mRNA",0,0.50000021
"ENSACAT00000007439.3","mRNA",11,0.26121386
"ENSACAT00000027338.2","mRNA",104,0.11028918
"ENSACAT00000010520.3","mRNA",16,0.39705641
"ENSACAT00000010489.3","mRNA",22,0.30089291
"ENSACAT00000030849.1","mRNA",22,0.28343731
"ENSACAT00000010479.2","mRNA",0,0.50000021
"ENSACAT00000007307.3","mRNA",1,0.70081021
"ENSACAT00000029990.1","mRNA",4,0.57358621
"ENSACAT00000022190.2","mRNA",0,0.50000021
"ENSACAT00000028057.2","mRNA",60,0.20432409
"ENSACAT00000030135.1","mRNA",2,0.81173521
"ENSACAT00000007234.3","mRNA",7,0.51980281
"ENSACAT00000026147.2","mRNA",1,0.90080881
"ENSACAT00000013817.2","mRNA",6,0.70081021
"ENSACAT00000010218.3","mRNA",24,0.49247686
"ENSACAT00000008590.2","mRNA",2,0.57358621
"ENSACAT00000028154.1","mRNA",5,0.47442881
"ENSACAT00000030256.1","mRNA",147,0.09458001
"ENSACAT00000010221.3","mRNA",15,0.24486641
"ENSACAT00000030680.1","mRNA",231,0.10758091
"ENSACAT00000010442.2","mRNA",4,0.57362021
"ENSACAT00000028294.1","mRNA",0,0.50000021
"ENSACAT00000026805.1","mRNA",0,0.50000021
"ENSACAT00000017824.2","mRNA",14,0.26014301
"ENSACAT00000021002.2","mRNA",45,0.24997909
"ENSACAT00000026715.2","mRNA",4,0.55339899
"ENSACAT00000017856.2","mRNA",144,0.13547799
"ENSACAT00000017866.2","mRNA",423,0.091351325
"ENSACAT00000025421.1","mRNA",7,0.60161881
"ENSACAT00000027036.1","mRNA",0,0.50000021
"ENSACAT00000023725.1","mRNA",0,0.50000021
"ENSACAT00000017870.2","mRNA",34,0.25965841
"ENSACAT00000017871.2","mRNA",16,0.27713359
"ENSACAT00000024206.2","mRNA",3,0.90080881
"ENSACAT00000026630.1","mRNA",50,0.16454521
"ENSACAT00000029363.1","mRNA",26,0.21254356
"ENSACAT00000030645.1","mRNA",2,0.70081021
"ENSACAT00000008641.3","mRNA",2,0.76185121
"ENSACAT00000029639.1","mRNA",6,0.44639571
"ENSACAT00000025629.1","mRNA",42,0.16862241
"ENSACAT00000029736.1","mRNA",30,0.14587781
"ENSACAT00000030667.1","mRNA",86,0.15213854
"ENSACAT00000028020.1","mRNA",6,0.64486691
"ENSACAT00000008646.2","mRNA",26,0.22777731
"ENSACAT00000008810.2","mRNA",12,0.30132791
"ENSACAT00000029374.1","mRNA",11,0.19032086
"ENSACAT00000022880.1","mRNA",7,0.44639571
"ENSACAT00000026144.1","mRNA",0,0.50000021
"ENSACAT00000029442.1","mRNA",567,0.09264054
"ENSACAT00000030724.1","mRNA",411,0.060100415
"ENSACAT00000008661.3","mRNA",29,0.23116349
"ENSACAT00000029134.1","mRNA",29,0.16636451
"ENSACAT00000001710.2","mRNA",13,0.32601249
"ENSACAT00000029301.1","mRNA",242,0.048767295
"ENSACAT00000023582.1","mRNA",17,0.33607496
"ENSACAT00000027560.2","mRNA",16,0.18694001
"ENSACAT00000014479.2","mRNA",3,0.53390691
"ENSACAT00000013851.3","mRNA",143,0.09261129
"ENSACAT00000013832.3","mRNA",18,0.31187131
"ENSACAT00000010523.2","mRNA",271,0.13081024
"ENSACAT00000013047.2","mRNA",26,0.21562716
"ENSACAT00000013069.2","mRNA",6,0.40695321
"ENSACAT00000013037.3","mRNA",6415,0.060512635
"ENSACAT00000012635.2","mRNA",39,0.18022671
"ENSACAT00000026651.2","mRNA",23,0.14987826
"ENSACAT00000029584.1","mRNA",3,0.81173521
"ENSACAT00000012533.3","mRNA",81,0.18612719
"ENSACAT00000012448.3","mRNA",3,0.51254521
"ENSACAT00000030672.1","mRNA",92,0.16523991
"ENSACAT00000012434.2","mRNA",10,0.13552601
"ENSACAT00000012339.3","mRNA",7,0.31980421
"ENSACAT00000012294.2","mRNA",0,0.50000021
"ENSACAT00000029971.1","mRNA",4,0.44639621
"ENSACAT00000023919.1","mRNA",3,0.70081021
"ENSACAT00000030707.1","mRNA",12,0.19639606
"ENSACAT00000008339.2","mRNA",0,0.50000021
"ENSACAT00000026305.1","mRNA",7,0.58535331
"ENSACAT00000003609.2","mRNA",17,0.27004051
"ENSACAT00000027504.2","mRNA",11,0.33547121
"ENSACAT00000003590.2","mRNA",33,0.39223671
"ENSACAT00000011058.2","mRNA",45,0.16328386
"ENSACAT00000011168.2","mRNA",23,0.29211281
"ENSACAT00000029962.1","mRNA",515,0.04316951
"ENSACAT00000017995.3","mRNA",515,0.04316951
"ENSACAT00000006887.3","mRNA",9,0.19113131
"ENSACAT00000008840.3","mRNA",30,0.21153326
"ENSACAT00000026412.2","mRNA",366,0.07714469
"ENSACAT00000007264.3","mRNA",366,0.07714469
"ENSACAT00000009781.2","mRNA",11,0.18993366
"ENSACAT00000015144.3","mRNA",647,0.09096119
"ENSACAT00000010150.3","mRNA",36,0.36313151
"ENSACAT00000013748.3","mRNA",43,0.23010321
"ENSACAT00000004476.3","mRNA",1226,0.22043875
"ENSACAT00000029921.1","mRNA",5,0.47442881
"ENSACAT00000016437.2","mRNA",0,0.50000021
"ENSACAT00000016176.3","mRNA",5092,0.121239285
"ENSACAT00000017960.3","mRNA",33,0.28232331
"ENSACAT00000000736.2","mRNA",3,0.27439571
"ENSACAT00000007530.3","mRNA",159,0.060559955
"ENSACAT00000005093.3","mRNA",143,0.231918455
"ENSACAT00000022153.2","mRNA",145,0.234715635
